,Unnamed: 0,French,English
0,0,partie,part
1,2,chercher,search
2,3,seulement,only
3,4,police,police
4,5,pensais,thought
5,6,aide,help
6,7,demande,request
7,9,mois,month
8,10,frÃƒÂ¨re,brother
9,11,laisser,let
10,12,car,because
11,13,mettre,to put
12,14,aucun,no
13,15,laisse,leash
14,16,eux,them
15,17,ville,city
16,18,chaque,each
17,19,parlÃƒÂ©,speak
18,20,devrait,should
19,21,bÃƒÂ©bÃƒÂ©,baby
20,22,longtemps,long time
21,23,heures,hours
22,24,vont,will
23,25,pendant,while
24,26,revoir,meet again
25,27,aucune,any
26,28,place,square
27,29,parle,speak
28,30,compris,understood
29,31,savais,knew
30,32,ÃƒÂ©taient,were
31,33,attention,Warning
32,34,voici,here is
33,35,pourrais,could
34,36,affaire,case
35,37,donner,give
36,38,type,type
37,39,leurs,their
38,41,train,train
39,42,corps,body
40,43,endroit,place
41,44,yeux,eyes
42,45,faÃƒÂ§on,way
43,47,dont,whose
44,48,trouve,find
45,49,perdu,lost
46,50,main,hand
47,51,premiÃƒÂ¨re,first
48,52,cÃƒÂ´tÃƒÂ©,side
49,53,pouvoir,power
50,54,vieux,old
51,55,sois,be
52,56,tiens,here
53,57,matin,morning
54,58,tellement,so much
55,59,enfant,child
56,60,point,point
57,61,venu,came
58,62,suite,after
59,63,pardon,sorry
60,64,venez,come
61,65,devant,in front of
62,66,vers,towards
63,67,minutes,minutes
64,68,demandÃƒÂ©,request
65,69,chambre,bedroom
66,70,mis,placed
67,71,belle,beautiful
68,72,droit,law
69,73,aimerais,would like to
70,74,aujourd'hui,today
71,75,mari,husband
72,76,cause,cause
73,77,enfin,finally
74,78,espÃƒÂ¨re,hope
75,79,eau,water
76,80,attendez,Wait
77,81,parti,left
78,82,nouvelle,new
79,83,boulot,job
80,84,arrÃƒÂªter,Stop
81,85,dirait,would say
82,86,terre,Earth
83,87,compte,account
84,88,donne,given
85,89,loin,far
86,90,fin,end
87,91,croire,believe
88,92,chÃƒÂ©rie,sweetheart
89,93,gros,large
90,94,plutÃƒÂ´t,rather
91,95,aura,will have
92,96,jouer,to play
93,97,bureau,office
